Frame Rate:,23.9760246510
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2144,00:01:29.423,14.093659577546296,6.706325954861111,7.879258897569445,27.695393880208332
2145,00:01:29.464,14.08209454571759,6.383273654513889,7.852267795138889,28.0107421875
2146,00:01:29.506,14.913510923032407,7.21435546875,8.097330729166666,29.428846571180557
2147,00:01:29.548,15.060637297453704,7.341715494791667,7.464002821180555,30.37619357638889
2148,00:01:29.589,15.032163266782407,7.46630859375,7.938178168402778,29.692003038194443
2149,00:01:29.631,15.638879846643517,7.560275607638889,8.381157769097221,30.975206163194443
2150,00:01:29.673,16.92532009548611,8.968614366319445,8.587483723958334,33.21986219618056
2151,00:01:29.715,17.384141710069446,9.958685980902779,8.95751953125,33.23621961805556
2152,00:01:29.756,17.96023220486111,10.066786024305555,9.539252387152779,34.274658203125
2153,00:01:29.798,17.594184027777775,9.522108289930555,9.98464626736111,33.275797526041664
2154,00:01:29.840,19.947120949074076,11.454481336805555,11.13888888888889,37.24799262152778
2155,00:01:29.881,18.778474030671294,10.576090494791666,10.633165147569445,35.12616644965278
2156,00:01:29.923,18.87811053240741,11.387776692708334,10.906494140625,34.340060763888886
2157,00:01:29.965,20.409306278935187,13.414605034722221,11.388563368055555,36.42475043402778
2158,00:01:30.007,20.770751953125,12.290418836805555,12.339708116319445,37.68212890625
2159,00:01:30.048,20.480016637731485,11.69650607638889,12.974419487847221,36.769124348958336
2160,00:01:30.090,21.73947482638889,12.64162868923611,13.404052734375,39.17274305555556
2161,00:01:30.132,21.830873842592595,12.49338107638889,14.53225368923611,38.46698676215278
2162,00:01:30.173,22.24462890625,13.10720486111111,14.847520616319445,38.77916124131944
2163,00:01:30.215,21.59686053240741,12.876410590277779,15.095458984375,36.81871202256944
2164,00:01:30.257,22.99654586226852,13.360894097222221,16.281982421875,39.346761067708336
2165,00:01:30.299,25.38689959490741,15.499159071180555,17.78073459201389,42.88080512152778
2166,00:01:30.340,25.816297743055557,15.407552083333334,19.42388237847222,42.617458767361114
2167,00:01:30.382,25.738597728587962,16.484022352430557,19.21169704861111,41.52007378472222
2168,00:01:30.424,25.777850115740737,16.303059895833332,19.907470703125,41.123019748263886
2169,00:01:30.465,26.97662579571759,17.16994900173611,21.299641927083332,42.460286458333336
2170,00:01:30.507,27.078712745949076,17.510579427083332,21.847303602430557,41.878255208333336
2171,00:01:30.549,27.434244791666668,17.08010525173611,22.26055230034722,42.962076822916664
2172,00:01:30.590,28.704182942708332,17.826280381944443,23.66449652777778,44.62177191840278
2173,00:01:30.632,29.837085865162038,18.10907660590278,25.1494140625,46.252766927083336
2174,00:01:30.674,30.196316189236114,19.77780490451389,24.80523003472222,46.00591362847222
2175,00:01:30.716,29.482231987847225,19.23415798611111,24.991075303819443,44.221462673611114
2176,00:01:30.757,30.300048828124996,20.008165147569443,26.205159505208332,44.68682183159722
2177,00:01:30.799,29.812138310185187,19.610460069444443,26.049479166666668,43.77647569444444
2178,00:01:30.841,29.573115596064813,18.62375217013889,25.955891927083332,44.13970269097222
2179,00:01:30.882,29.704734519675927,18.735107421875,26.150065104166668,44.229031032986114
2180,00:01:30.924,28.925157335069443,17.263020833333332,26.395345052083332,43.117106119791664
2181,00:01:30.966,29.428656684027775,18.88571506076389,26.21921115451389,43.18104383680556
2182,00:01:31.008,28.996780960648152,18.46310763888889,26.03716362847222,42.490071614583336
2183,00:01:31.049,29.28439670138889,17.92768012152778,26.25417751736111,43.67133246527778
2184,00:01:31.091,29.96089228877315,19.25466579861111,26.47531467013889,44.15269639756944
2185,00:01:31.133,31.02462203414352,19.798963758680557,27.965440538194443,45.30946180555556
2186,00:01:31.174,30.755443431712962,19.526502821180557,27.66330295138889,45.07652452256944
2187,00:01:31.216,62.1353443287037,39.64879014756944,55.375569661458336,91.38167317708333
2188,00:01:31.258,4.246509693287037,3.5816243489583335,2.688205295138889,6.469699435763889
2189,00:01:31.300,3.013328269675926,2.2518174913194446,1.6144476996527777,5.173719618055555
2190,00:01:31.341,3.036557798032407,1.9684516059027777,1.8754611545138888,5.265760633680555
2191,00:01:31.383,4.223867910879629,4.231852213541667,1.9369303385416667,6.502821180555555
2192,00:01:31.425,2.9187825520833335,1.6969401041666667,1.9282497829861112,5.131157769097222
2193,00:01:31.466,3.6638635706018525,2.6416015625,2.1505805121527777,6.199408637152778
2194,00:01:31.508,4.280327690972222,4.055067274305555,1.8975151909722223,6.888400607638889
2195,00:01:31.550,2.6599573206018516,1.5844184027777777,1.749267578125,4.646185980902778
2196,00:01:31.591,4.350459346064815,4.805962456597222,1.9620496961805556,6.283365885416667
2197,00:01:31.633,3.521375868055556,3.080539279513889,1.8875325520833333,5.596055772569445
2198,00:01:31.675,3.2068051938657405,2.2398546006944446,1.8119303385416667,5.568630642361111
2199,00:01:31.717,4.788935908564815,5.210991753472222,2.1268174913194446,7.028998480902778
